term,estimate,std.error,statistic,p.value
(Intercept),5.397722210626413,0.29061237378753435,18.573614537737022,3.464441618237708e-76
type_riskFurgoneta,-0.02482384093900336,0.1831617506173599,-0.13552961169749042,0.8921948980020478
type_riskAutomovil particular,0.1398568181304557,0.1696556970738424,0.824356744528203,0.4097494588283721
type_riskAgricola,-0.992685271782836,3.4720839406666157,-0.2859047444550685,0.7749548670106989
area_labelUrbana,-0.06164150736782733,0.06150689439623511,-1.0021885834574094,0.3162680284506019
grupo_edad26-35,0.5027331284012817,0.22753258789314987,2.2094994526118916,0.027154357517654545
grupo_edad36-45,0.5471356122598032,0.23326661562432302,2.34553757637127,0.01901209088604407
grupo_edad46-55,0.5415745317535836,0.24120484144252297,2.2452888114297496,0.02476351196288364
grupo_edad56-65,0.5364420076952133,0.24768041269799312,2.165863670250417,0.03033667016774617
grupo_edad>65,0.5542212078830266,0.2604728638579488,2.1277502756881272,0.03337339280246203
grupo_experiencia3-5,0.07884706287207953,0.2861055565111572,0.27558731760948774,0.7828686931824317
grupo_experiencia6-10,-0.20648365443134536,0.2731855604455095,-0.7558366338784999,0.4497585350096136
grupo_experiencia11-20,-0.25186961370779753,0.2725637986406059,-0.9240758125766544,0.355461104549585
grupo_experiencia>20,-0.37329750454710187,0.2797257883736237,-1.3345122976237587,0.18205545089325223
grupo_potenciaMedia,-0.0027781290880545526,0.08381768262010077,-0.03314490452624748,0.973559456808188
grupo_potenciaAlta,-0.07637284477589686,0.09127637799366839,-0.8367208083256179,0.40276230643746946
grupo_potenciaMuy alta,0.03433263746929267,0.1741827042530513,0.1971070412330634,0.8437463351956966
grupo_valor_vehiculoMedio-bajo,0.15604333291969189,0.09395845518186483,1.6607694604775731,0.09677980543472642
grupo_valor_vehiculoMedio-alto,0.17496723213039903,0.10256812899973926,1.705863544911147,0.0880533473009023
grupo_valor_vehiculoAlto,0.19602283611746987,0.11006748933631239,1.780933110216769,0.07494278590012705
distribution_channelCorredor,0.03646140855771297,0.058165847252492284,0.626852530823415,0.5307650573192123
premium,0.0012721993061649318,2.0170516013127567e-4,6.307222409862727,2.91720898532058e-10
n_claims_history,-0.005804203415391694,0.007150917614037643,-0.8116725333260342,0.41699191383158785
r_claims_history,0.29772505996092236,0.03130010074098673,9.511952131548847,2.137874589612527e-21
seniority,0.002550010544215137,0.006668314443279232,0.3824070634199331,0.70216464912539
