term,estimate,std.error,statistic,p.value
(Intercept),4.7112792987324825,0.10589785363125007,44.488902628166215,0
type_riskFurgoneta,0.11461543354275762,0.0667433254989389,1.7172568595578865,0.08595205150134703
type_riskAutomovil particular,0.13152825166367538,0.061821779789626115,2.127539066511091,0.033390920609337925
type_riskAgricola,0.056131018601632256,1.2652119114960372,0.044364914755869386,0.9646140945534423
area_labelUrbana,-0.050696519288100136,0.022412838156874965,-2.261941077397615,0.023714712820549707
grupo_edad26-35,0.09667272591569741,0.08291186082346323,1.1659698016129918,0.24364443866986235
grupo_edad36-45,0.050146223686831554,0.08500131496982123,0.5899464461771611,0.5552350783164156
grupo_edad46-55,0.025645674653362108,0.08789396907408913,0.29177968549519484,0.7704589489085791
grupo_edad56-65,0.03555367960232099,0.09025363837534145,0.39393070730802526,0.693637570005821
grupo_edad>65,0.03831250280603421,0.09491515055689885,0.4036500240608794,0.686475614106955
grupo_experiencia3-5,-0.01539694858247039,0.10425558950444623,-0.14768463403886609,0.8825935630228747
grupo_experiencia6-10,0.015610627075448143,0.09954760052777391,0.15681570417252555,0.8753921203672574
grupo_experiencia11-20,0.007322021068680631,0.09932103329751096,0.07372075003235115,0.9412335305212589
grupo_experiencia>20,0.018232802839531055,0.10193083043233676,0.17887426956296865,0.8580387442340429
grupo_potenciaMedia,0.01669367433991697,0.030542789937441882,0.5465667797247455,0.5846841957874821
grupo_potenciaAlta,0.012231658369757127,0.03326070528514696,0.36775102226167605,0.7130638694697531
grupo_potenciaMuy alta,-0.025116394769015823,0.06347140102702728,-0.3957119956800828,0.6923229036530478
grupo_valor_vehiculoMedio-bajo,0.09458172765241324,0.034238042257422587,2.7624747624671366,0.005743200181821191
grupo_valor_vehiculoMedio-alto,0.09772347729436583,0.037375369019856476,2.6146491621914985,0.008940482245953304
grupo_valor_vehiculoAlto,0.11275738017448708,0.040108102498820575,2.811336691328213,0.004939751749397519
distribution_channelCorredor,0.011481901197806768,0.02119537547009394,0.5417172823386591,0.5880210005689549
premium,0.0013517201959786672,7.350046127033121e-5,18.39063554998797,9.574852619816133e-75
n_claims_history,0.0034508819704115045,0.0026057625040223557,1.3243271269291004,0.18541378089117955
r_claims_history,0.20720075558397796,0.011405617192803,18.16655355702475,5.3447636057663067e-73
seniority,-4.6764123915247005e-4,0.0024299040597555764,-0.1924525527149866,0.8473902297534325
