term,estimate,std.error,statistic,p.value
(Intercept),-1.7576742044068931,0.06176263540088435,-28.458536346422257,3.8210704173389526e-178
type_riskFurgoneta,0.8537440317509383,0.03776739513045676,22.605319450862883,3.8418641438972953e-113
type_riskAutomovil particular,0.7580618576711968,0.035300766901047435,21.474373624690397,2.703398488184346e-102
type_riskAgricola,-3.9629661401979446,1.0007221651800262,-3.96010628932659,7.491641136179132e-5
area_labelUrbana,0.02719818186079278,0.01220340255612979,2.2287375783675256,0.025831370382819192
grupo_edad26-35,0.0803617976539967,0.04626965289307627,1.7368143616660228,0.08241994323762734
grupo_edad36-45,-0.011896794784680212,0.04714337514863087,-0.25235348014801007,0.8007678541610332
grupo_edad46-55,0.04353687903905215,0.04880545923075688,0.8920493675350051,0.3723664720378358
grupo_edad56-65,-0.0935349312020425,0.05015851184387781,-1.8647868081329266,0.0622112931182075
grupo_edad>65,-0.1736706323321699,0.052847242355444655,-3.286276153523406,0.0010152142769008212
grupo_experiencia3-5,-0.7663757735432987,0.06269884304998684,-12.223124642544095,2.3391776031032633e-34
grupo_experiencia6-10,-0.12823499923962225,0.057178794185421565,-2.242702055307024,0.024916034019309526
grupo_experiencia11-20,-0.31741077543977475,0.05708835915608152,-5.559991215931831,2.6978822854356006e-8
grupo_experiencia>20,-0.29912771473278205,0.05837021786209978,-5.124663324702235,2.980698767364727e-7
grupo_potenciaMedia,-0.13021126924928642,0.016729261704320146,-7.783443857277981,7.0576480254761274e-15
grupo_potenciaAlta,-0.10872271138146615,0.01818572111530004,-5.978465780496072,2.2524891550214715e-9
grupo_potenciaMuy alta,-0.14807948813195757,0.034368684370641674,-4.308558527729087,1.643219950182459e-5
grupo_valor_vehiculoMedio-bajo,0.0799800884829761,0.019122148560130954,4.1825890135448445,2.8820811817712208e-5
grupo_valor_vehiculoMedio-alto,0.1714986222853344,0.020802080193114962,8.244301564710664,1.661276998258941e-16
grupo_valor_vehiculoAlto,0.16438936904061102,0.022163271977052423,7.417197659750678,1.196243555734019e-13
distribution_channelCorredor,0.04286286249218809,0.01176268268179708,3.643969972812323,2.684647541789437e-4
premium,2.952582129029325e-4,3.854502042060414e-5,7.660087079499975,1.8580705572448456e-14
n_claims_history,0.11317042298495167,6.810947690165126e-4,166.15958326675673,0
r_claims_history,0.2764090310292939,0.0017420124925489778,158.67224386252354,0
seniority,-0.07022403495026258,0.0012929407878397654,-54.313419153240815,0
