term,estimate,std.error,statistic,p.value
(Intercept),-1.7576742044068931,0.07367685968183896,-23.856529879220037,2.2636537564910138e-125
type_riskFurgoneta,0.8537440317509383,0.0450528552338197,18.949831865707385,6.502347616800173e-80
type_riskAutomovil particular,0.7580618576711968,0.042110405955775275,18.00177035736298,2.5799056725277544e-72
type_riskAgricola,-3.9629661401979446,1.19376490439427,-3.3197207637870703,9.014575912584194e-4
area_labelUrbana,0.02719818186079278,0.01455748077997487,1.868330260700487,0.06171952007982465
grupo_edad26-35,0.0803617976539967,0.05519522769071739,1.4559555421040824,0.14540863713240568
grupo_edad36-45,-0.011896794784680212,0.056237493967173514,-0.2115456067730278,0.8324620601019744
grupo_edad46-55,0.04353687903905215,0.0582201997714738,0.7477967992199153,0.45458482074990614
grupo_edad56-65,-0.0935349312020425,0.05983426087608834,-1.56323366968208,0.11800140018219674
grupo_edad>65,-0.1736706323321699,0.06304165672856767,-2.7548551441141,0.005873072967701483
grupo_experiencia3-5,-0.7663757735432987,0.07479366499865031,-10.246533226539016,1.2681924187950973e-24
grupo_experiencia6-10,-0.12823499923962225,0.06820877976841858,-1.8800365535786419,0.06010654456045276
grupo_experiencia11-20,-0.31741077543977475,0.06810089951162965,-4.660889616965636,3.1532676887216183e-6
grupo_experiencia>20,-0.29912771473278205,0.0696300331601899,-4.2959582403847625,1.7413494502001905e-5
grupo_potenciaMedia,-0.13021126924928642,0.019956393686405244,-6.5247895634565145,6.848139102027729e-11
grupo_potenciaAlta,-0.10872271138146615,0.021693809114982032,-5.011693004451708,5.4062268411573e-7
grupo_potenciaMuy alta,-0.14807948813195757,0.04099852150721083,-3.611825077787581,3.042262421838465e-4
grupo_valor_vehiculoMedio-bajo,0.0799800884829761,0.022810876626871954,3.5062259899629176,4.547454300499203e-4
grupo_valor_vehiculoMedio-alto,0.1714986222853344,0.02481487283582701,6.9111223506948445,4.8423576363713175e-12
grupo_valor_vehiculoAlto,0.16438936904061102,0.026438643185234676,6.217768736801834,5.066303641002325e-10
distribution_channelCorredor,0.04286286249218809,0.014031744529741225,3.054706590569503,0.002253511577611725
premium,2.952582129029325e-4,4.598048711052582e-5,6.42138070858632,1.357596917205852e-10
n_claims_history,0.11317042298495167,8.124802868458168e-4,139.29005394616775,0
r_claims_history,0.2764090310292939,0.002078052679334079,133.01348602859787,0
seniority,-0.07022403495026258,0.001542353501988562,-45.53044088772287,0
